,Długość,CapsLock_śr,CapsLock_Max,CapsLock_Sum,http,font,td,statements,www,nbsp,height,pills,width,size,ect,the,to,hou,enron,for,on,i,and,deal
1109,1022,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,3,3,0,0,0
1110,309,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
1111,614,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0
1112,443,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,1,1,0
1113,1591,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,5,7,2,13,7,3,3,1,0
1114,752,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,3,1,1,0
1115,1397,1.0,1,1,1,0,0,0,0,0,0,0,0,2,0,13,4,0,0,1,2,21,7,0
1116,256,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1117,688,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0
1118,3236,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1119,509,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0
1120,96,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1121,568,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,2,0,2,0
1122,3194,1.0,1,1,3,0,0,0,0,0,0,1,0,0,0,11,15,0,0,7,3,34,15,0
1123,1235,1.0,1,1,0,0,0,0,0,0,0,0,0,0,13,1,2,7,6,1,3,0,0,0
1124,1175,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0
1125,92,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1126,514,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,2,3,0,1,1,0,0,0
1127,390,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1128,359,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,0,1,0,0,0
1129,1833,1.0,1,1,0,0,0,0,0,0,0,0,0,0,13,12,4,7,4,6,3,4,7,2
1130,11,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1253,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0
1132,3233,1.0,1,1,0,0,0,0,2,0,0,0,0,0,0,16,7,0,10,5,2,0,24,0
1133,345,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,2,0,3,0
1134,229,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1135,309,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,2
1136,737,1.0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,2,6,0,7,0,0,2,5
1137,99,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1138,442,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,3,0,0
1139,271,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2,1
1140,169,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
1141,537,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0,1,2,0
1142,498,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0
1143,1153,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,11,3,1,0,1,4,0,3,0
1144,94,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1145,356,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,1896,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,5,12,3,0,2,4,1,2,0
1147,852,1.0,1,1,1,0,0,0,0,0,0,2,0,0,0,6,6,0,0,2,1,1,3,0
1148,1870,1.0,1,1,3,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,1,1,4,0
1149,67,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,858,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,3,3,1,2,3,0,0,0
1151,753,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,3,0
1152,2827,1.0,1,1,0,0,0,0,0,0,0,0,0,0,48,3,2,24,54,2,4,0,3,0
1153,98,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1154,227,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,534,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,1,0,0
1156,75,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1157,730,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,2,2,1,0
1158,1474,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,3,1,2,6,0
1159,2036,1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,10,12,0,0,4,3,0,13,0
1160,126,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,109,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0
1162,796,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,0,3,0
1163,1590,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,6,12,0,5,6,3,0,5,0
1164,363,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,2,0
1165,510,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,0,0,0
1166,270,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2
1167,93,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1168,96,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1169,443,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,2,1
1170,235,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1171,2947,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,1,5,1,8,0
1172,573,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,1,1,3,0
1173,135,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
1174,1152,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,1,0,6,0
1175,126,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
1176,392,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,1,1,0
1177,752,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,2,0
1178,1794,1.0,1,1,5,0,0,0,3,0,0,0,0,0,0,7,6,0,0,4,0,5,5,0
1179,74,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1180,107,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1181,519,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0
1182,83,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1183,79,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
1184,637,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,2,0,1,0
1185,221,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
1186,625,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,0,0
1187,1337,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,2,0,6,5,0
1188,2493,1.0,1,1,0,0,0,0,0,0,0,0,0,0,43,9,10,21,2,1,5,2,4,1
1189,725,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
1190,119,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1191,99,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1192,1631,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,3,2,3,2
1193,246,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,2,0
1194,226,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0
1195,891,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,3,2,0,0
1196,260,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1197,2642,1.0,1,1,0,0,0,0,0,0,0,0,0,0,5,10,13,3,0,4,10,14,2,0
1198,2518,1.0,1,1,0,0,0,0,1,0,0,0,0,0,25,9,7,13,4,3,2,8,7,0
1199,2373,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,25,0,1,3,4,4,12,0
1200,292,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3
1201,1020,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,7,0,3,5,5
1202,432,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,2,2,0
1203,2061,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,9,0,0,1,0
1204,1322,1.0,1,1,0,0,0,0,0,0,0,0,0,0,15,7,6,7,0,1,7,5,6,1
1205,702,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,3,1,5,0
1206,847,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,1,4,3,1,0
1207,1358,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,2,2,3,4,0
1208,7300,1.0,1,1,6,0,0,0,7,0,0,0,0,0,0,50,15,0,0,22,15,2,41,0
1209,1664,1.0,1,1,0,0,0,0,0,0,0,0,0,0,13,14,6,7,2,5,4,2,4,0
1210,200,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0
1211,46,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,1419,1.0,1,1,0,0,0,0,0,0,0,0,0,0,9,8,6,6,2,0,4,3,0,0
1213,2761,1.0,1,1,0,0,0,0,0,0,0,0,0,0,19,12,16,9,12,5,3,7,2,6
1214,1603,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,5,1,9,4,10
1215,92,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1216,1592,1.0,1,1,0,0,0,0,0,0,0,0,0,0,35,9,2,18,0,0,4,0,0,0
1217,102,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,83,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1219,620,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,3,0,0,0
1220,302,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1221,5382,1.0,1,1,0,0,0,0,0,0,0,0,0,0,37,28,27,20,4,27,5,12,22,10
1222,5845,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,1,4,0
1223,1727,1.0,1,1,0,0,0,0,2,0,0,0,0,0,0,6,3,0,0,4,2,0,6,1
1224,1979,1.0,1,1,0,0,0,0,0,0,0,0,0,0,15,9,11,7,9,11,3,1,2,9
1225,858,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,6,5,0
1226,1564,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,2112,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,1,1,0
1228,331,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1229,504,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1230,430,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1231,1105,1.0,1,1,2,0,0,0,0,0,0,1,0,0,0,6,4,0,0,2,0,0,2,0
1232,4560,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,17,13,0,0,6,7,0,13,0
1233,1241,1.0,1,1,0,0,0,0,0,0,0,0,0,0,6,5,3,4,3,1,2,2,0,0
1234,2837,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,10,3,4,14,0
1235,409,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0
1236,1259,1.0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,4,0,5,0
1237,884,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1238,781,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,3,2,3,0,1,1,0,0
1239,1721,1.0,1,1,0,0,0,0,0,0,0,0,0,0,16,2,11,7,6,3,1,5,5,0
1240,820,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,5,1,0,1,0
1241,393,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0
1242,3019,1.0,1,1,0,0,0,0,0,0,0,0,0,0,31,13,20,16,6,4,10,0,16,1
1243,1225,1.0,1,1,0,0,0,0,0,0,0,0,0,0,12,3,5,6,6,8,1,0,0,6
1244,925,1.0,1,1,0,0,0,0,0,0,0,0,0,0,11,2,3,6,0,3,2,0,1,1
1245,222,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1246,534,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,1,1,1,0
1247,243,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2
1248,695,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1249,90,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1250,2234,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,13,0,0,6,2,4,5,0
1251,1266,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,4,2,4,6,0
1252,412,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0
1253,451,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,1749,1.0,1,1,0,0,0,0,0,0,0,0,0,0,15,4,4,8,7,2,5,0,1,0
1255,1038,1.0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,5,2,0,2,0,4,2,1
1256,341,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0
1257,305,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,557,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0
1259,109,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1260,470,1.0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1261,174,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1262,122,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1263,130,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
1264,564,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
1265,133,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1266,108,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
1267,699,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,2,1,0,1,0
1268,1293,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,5,5,0
1269,230,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2
1270,207,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2
1271,250,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
1272,91,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,5096,1.0,1,1,0,0,0,0,0,0,0,0,0,0,29,17,13,18,20,7,9,2,9,2
1274,96,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1275,480,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,0
1276,120,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,161,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1278,1064,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0,1,7,7,0
1279,11,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,1475,1.0,1,1,0,0,0,0,0,0,0,0,0,0,8,7,10,4,5,1,0,5,2,2
1281,3557,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,26,26,0,1,8,12,10,20,1
1282,198,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1283,7490,1.0,1,1,0,0,0,0,0,0,0,0,0,0,55,30,31,31,18,13,17,10,8,6
1284,479,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
1285,1726,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,0,0,5,0
1286,2879,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,11,3,8,21,9
1287,357,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0
1288,346,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,1,2
1289,209,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,429,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0
1291,307,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0
1292,2315,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,19,0,5,10,6,3,6,5
1293,1039,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0
1294,101,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1295,2294,1.0,1,1,0,0,0,0,0,0,0,0,0,0,27,21,10,14,2,0,7,6,0,1
1296,1976,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0
1297,477,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,195,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1299,151,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
1300,265,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1301,405,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1
1302,312,1.0,1,1,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0
1303,85,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1304,5915,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,2,1
1305,3353,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,23,0,1,15,6,14,15,0
1306,140,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1307,229,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1308,410,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,2,0,0,0
1309,326,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0
1310,108,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1311,2590,1.0,1,1,0,0,0,0,0,0,0,0,0,0,13,16,4,10,2,3,5,5,6,0
1312,3246,1.0,1,1,0,0,0,0,0,0,0,0,0,0,19,19,16,11,1,6,6,5,13,7
1313,588,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1314,3896,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
1315,377,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1316,901,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,1,0,6,0
1317,799,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,2,2,0,5
1318,366,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
1319,640,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,2,0
1320,1341,1.0,1,1,0,0,0,0,0,0,0,0,0,0,14,6,6,7,0,4,1,5,4,9
1321,514,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0
1322,1448,1.0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,3,6,4,5,5,3,2,3
1323,162,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
1324,2785,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,14,0,0,8,5,8,6,10
1325,1220,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,6,4,4,1,0,0
1326,384,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,2,0,1,0
1327,402,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
1328,597,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,3,0,1,0
1329,233,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1330,349,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,0,2
1331,228,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
1332,1462,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1333,160,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1334,1610,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,11,0,4,5,1,10,8,0
1335,134,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1336,3310,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,33,17,0,0,5,2,6,13,0
1337,417,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0
1338,267,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,3
1339,181,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1340,100,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1341,549,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
1342,265,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1343,387,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1
1344,802,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,3,0
1345,92,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1346,736,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,3,3,2,1,0
1347,309,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1348,265,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0
1349,324,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,3
1350,1542,1.0,1,1,0,0,0,0,0,0,0,0,0,0,3,10,4,1,11,10,3,1,2,3
1351,182,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1352,399,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,406,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1354,189,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0
1355,1875,1.0,1,1,0,0,0,0,0,0,0,0,0,0,30,8,9,13,3,8,2,0,7,0
1356,93,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1357,1148,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,3,4,0
1358,419,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,2,0
1359,304,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0
1360,1106,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,4,1,2,1,2,0,0,0
1361,303,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0
1362,95,1.0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,1964,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,11,0,1,6,3,0,12,0
1364,81,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,707,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,5,1,2,0,0
1366,1529,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,2,6,0,1,0
1367,2438,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1368,94,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1369,11,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
